CAR_0000,Kia,Avente,Blue,shkwon
CAR_0001,GM,G80,Red,mjyoon
CAR_0002,SsangYong,G70,Gray,jykwon
CAR_0003,BMW,GV80,Green,jwkwon
CAR_0004,Samsung,G90,Black,victor
CAR_0005,Audi,Sonata,White,cyber
CAR_0006,Hyundai,Grandeur,Yellow,knix008
CAR_0007,Volvo,Ionic,Violet,manpal
CAR_0008,Bentz,EV6,Carbon,captain
CAR_0009,Kia,GV70,Orange,boss
CAR_0010,GM,Avente,Blue,shkwon
CAR_0011,SsangYong,G80,Red,mjyoon
CAR_0012,BMW,G70,Gray,jykwon
CAR_0013,Samsung,GV80,Green,jwkwon
CAR_0014,Audi,G90,Black,victor
CAR_0015,Hyundai,Sonata,White,cyber
CAR_0016,Volvo,Grandeur,Yellow,knix008
CAR_0017,Bentz,Ionic,Violet,manpal
CAR_0018,Kia,EV6,Carbon,captain
CAR_0019,GM,GV70,Orange,boss
CAR_0020,SsangYong,Avente,Blue,shkwon
CAR_0021,BMW,G80,Red,mjyoon
CAR_0022,Samsung,G70,Gray,jykwon
CAR_0023,Audi,GV80,Green,jwkwon
CAR_0024,Hyundai,G90,Black,victor
CAR_0025,Volvo,Sonata,White,cyber
CAR_0026,Bentz,Grandeur,Yellow,knix008
CAR_0027,Kia,Ionic,Violet,manpal
CAR_0028,GM,EV6,Carbon,captain
CAR_0029,SsangYong,GV70,Orange,boss
CAR_0030,BMW,Avente,Blue,shkwon
CAR_0031,Samsung,G80,Red,mjyoon
CAR_0032,Audi,G70,Gray,jykwon
CAR_0033,Hyundai,GV80,Green,jwkwon
CAR_0034,Volvo,G90,Black,victor
CAR_0035,Bentz,Sonata,White,cyber
CAR_0036,Kia,Grandeur,Yellow,knix008
CAR_0037,GM,Ionic,Violet,manpal
CAR_0038,SsangYong,EV6,Carbon,captain
CAR_0039,BMW,GV70,Orange,boss
CAR_0040,Samsung,Avente,Blue,shkwon
CAR_0041,Audi,G80,Red,mjyoon
CAR_0042,Hyundai,G70,Gray,jykwon
CAR_0043,Volvo,GV80,Green,jwkwon
CAR_0044,Bentz,G90,Black,victor
CAR_0045,Kia,Sonata,White,cyber
CAR_0046,GM,Grandeur,Yellow,knix008
CAR_0047,SsangYong,Ionic,Violet,manpal
CAR_0048,BMW,EV6,Carbon,captain
CAR_0049,Samsung,GV70,Orange,boss
CAR_0050,Audi,Avente,Blue,shkwon
CAR_0051,Hyundai,G80,Red,mjyoon
CAR_0052,Volvo,G70,Gray,jykwon
CAR_0053,Bentz,GV80,Green,jwkwon
CAR_0054,Kia,G90,Black,victor
CAR_0055,GM,Sonata,White,cyber
CAR_0056,SsangYong,Grandeur,Yellow,knix008
CAR_0057,BMW,Ionic,Violet,manpal
CAR_0058,Samsung,EV6,Carbon,captain
CAR_0059,Audi,GV70,Orange,boss
CAR_0060,Hyundai,Avente,Blue,shkwon
CAR_0061,Volvo,G80,Red,mjyoon
CAR_0062,Bentz,G70,Gray,jykwon
CAR_0063,Kia,GV80,Green,jwkwon
CAR_0064,GM,G90,Black,victor
CAR_0065,SsangYong,Sonata,White,cyber
CAR_0066,BMW,Grandeur,Yellow,knix008
CAR_0067,Samsung,Ionic,Violet,manpal
CAR_0068,Audi,EV6,Carbon,captain
CAR_0069,Hyundai,GV70,Orange,boss
CAR_0070,Volvo,Avente,Blue,shkwon
CAR_0071,Bentz,G80,Red,mjyoon
CAR_0072,Kia,G70,Gray,jykwon
CAR_0073,GM,GV80,Green,jwkwon
CAR_0074,SsangYong,G90,Black,victor
CAR_0075,BMW,Sonata,White,cyber
CAR_0076,Samsung,Grandeur,Yellow,knix008
CAR_0077,Audi,Ionic,Violet,manpal
CAR_0078,Hyundai,EV6,Carbon,captain
CAR_0079,Volvo,GV70,Orange,boss
CAR_0080,Bentz,Avente,Blue,shkwon
